tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,37200,7969,8310259,142725,2017-08-01 16:23:56+00:00
892177421306343426,31996,5913,8310259,142725,2017-08-01 00:17:27+00:00
891815181378084864,24092,3909,8310259,142725,2017-07-31 00:18:03+00:00
891689557279858688,40514,8118,8310259,142725,2017-07-30 15:58:51+00:00
891327558926688256,38742,8801,8310259,142725,2017-07-29 16:00:24+00:00
891087950875897856,19473,2927,8310259,142725,2017-07-29 00:08:17+00:00
890971913173991426,11363,1942,8310259,142725,2017-07-28 16:27:12+00:00
890729181411237888,62756,17747,8310259,142725,2017-07-28 00:22:40+00:00
890609185150312448,26789,4029,8310259,142725,2017-07-27 16:25:51+00:00
890240255349198849,30691,6933,8310259,142725,2017-07-26 15:59:51+00:00
890006608113172480,29523,6890,8310259,142725,2017-07-26 00:31:25+00:00
889880896479866881,26774,4692,8310259,142725,2017-07-25 16:11:53+00:00
889665388333682689,46220,9440,8310259,142725,2017-07-25 01:55:32+00:00
889638837579907072,26063,4235,8310259,142725,2017-07-25 00:10:02+00:00
889531135344209921,14543,2121,8310259,142725,2017-07-24 17:02:04+00:00
889278841981685760,24268,5036,8310259,142725,2017-07-24 00:19:32+00:00
888917238123831296,28004,4232,8310259,142725,2017-07-23 00:22:39+00:00
888804989199671297,24600,4006,8310259,142725,2017-07-22 16:56:37+00:00
888554962724278272,19042,3314,8310259,142725,2017-07-22 00:23:06+00:00
888078434458587136,20924,3271,8310259,142725,2017-07-20 16:49:33+00:00
887705289381826560,29042,5063,8310259,142725,2017-07-19 16:06:48+00:00
887517139158093824,44557,11030,8310259,142725,2017-07-19 03:39:09+00:00
887473957103951883,66251,16961,8310259,142725,2017-07-19 00:47:34+00:00
887343217045368832,32393,9828,8310259,142725,2017-07-18 16:08:03+00:00
887101392804085760,29396,5610,8310259,142725,2017-07-18 00:07:08+00:00
886983233522544640,33736,7227,8310259,142725,2017-07-17 16:17:36+00:00
886736880519319552,11564,3050,8310259,142725,2017-07-16 23:58:41+00:00
886680336477933568,21572,4193,8310259,142725,2017-07-16 20:14:00+00:00
886366144734445568,20351,3000,8310259,142725,2017-07-15 23:25:31+00:00
886267009285017600,115,4,8310259,142725,2017-07-15 16:51:35+00:00
886258384151887873,26909,5938,8310259,142725,2017-07-15 16:17:19+00:00
886054160059072513,0,104,8310259,142725,2017-07-15 02:45:48+00:00
885984800019947520,31369,6353,8310259,142725,2017-07-14 22:10:11+00:00
885528943205470208,34604,6023,8310259,142725,2017-07-13 15:58:47+00:00
885518971528720385,19682,3510,8310259,142725,2017-07-13 15:19:09+00:00
885311592912609280,0,17435,8310259,142725,2017-07-13 01:35:06+00:00
885167619883638784,21063,4118,8310259,142725,2017-07-12 16:03:00+00:00
884925521741709313,74396,17062,8310259,142725,2017-07-12 00:01:00+00:00
884876753390489601,26834,5270,8310259,142725,2017-07-11 20:47:12+00:00
884562892145688576,23368,4434,8310259,142725,2017-07-11 00:00:02+00:00
884441805382717440,26005,5351,8310259,142725,2017-07-10 15:58:53+00:00
884247878851493888,70086,19140,8310259,142725,2017-07-10 03:08:17+00:00
884162670584377345,19596,2807,8310259,142725,2017-07-09 21:29:42+00:00
883838122936631299,21024,3253,8310259,142725,2017-07-09 00:00:04+00:00
883482846933004288,44165,9321,8310259,142725,2017-07-08 00:28:19+00:00
883360690899218434,21821,3488,8310259,142725,2017-07-07 16:22:55+00:00
883117836046086144,35737,6265,8310259,142725,2017-07-07 00:17:54+00:00
882992080364220416,23002,3680,8310259,142725,2017-07-06 15:58:11+00:00
882762694511734784,27205,4609,8310259,142725,2017-07-06 00:46:41+00:00
882627270321602560,26865,5717,8310259,142725,2017-07-05 15:48:34+00:00
882268110199369728,43202,10911,8310259,142725,2017-07-04 16:01:23+00:00
882045870035918850,28209,4614,8310259,142725,2017-07-04 01:18:17+00:00
